question_id,question,answer,category,processed_question,processed_answer
58,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
59,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
60,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking,check account balance,check balance net banking mobile app atm visiting branch
61,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
62,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
63,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
64,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards,different type account available,offer savings current salary fixed deposit account
65,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
66,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
67,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
68,How do I close my account?,Submit an account closure form at your branch with required documents.,General,close account,submit account closure form branch required document
69,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
70,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking,different type account available,offer savings current salary fixed deposit account
71,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans,check account balance,check balance net banking mobile app atm visiting branch
72,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards,close account,submit account closure form branch required document
73,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking,different type account available,offer savings current salary fixed deposit account
74,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking,check account balance,check balance net banking mobile app atm visiting branch
75,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
76,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
77,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards,close account,submit account closure form branch required document
78,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
79,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans,open new account,visit nearest branch required document apply online website
80,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
81,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General,open new account,visit nearest branch required document apply online website
82,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
83,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
84,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
85,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
86,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
87,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
88,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
89,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
90,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
91,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
92,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards,close account,submit account closure form branch required document
93,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
94,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking,different type account available,offer savings current salary fixed deposit account
95,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
96,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
97,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
98,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
99,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
100,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
101,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
102,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
103,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
104,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
105,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
106,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
107,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
108,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
109,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
110,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
111,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
112,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans,check account balance,check balance net banking mobile app atm visiting branch
113,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
114,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
115,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
116,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
117,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
118,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
119,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
120,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
121,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
122,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General,open new account,visit nearest branch required document apply online website
123,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
124,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
125,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
126,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
127,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
128,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
129,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
130,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
131,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
132,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
133,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
134,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
135,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
136,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
137,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
138,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking,check account balance,check balance net banking mobile app atm visiting branch
139,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
140,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans,open new account,visit nearest branch required document apply online website
141,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
142,How do I close my account?,Submit an account closure form at your branch with required documents.,General,close account,submit account closure form branch required document
143,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
144,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
145,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
146,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
147,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans,open new account,visit nearest branch required document apply online website
148,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
149,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans,check account balance,check balance net banking mobile app atm visiting branch
150,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
151,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
152,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
153,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans,document required account opening,need id proof address proof pan card passport-size photograph
154,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
155,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
156,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
157,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
158,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
159,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
160,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
161,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
162,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
163,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
164,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
165,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
166,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General,open new account,visit nearest branch required document apply online website
167,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
168,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
169,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans,check account balance,check balance net banking mobile app atm visiting branch
170,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
171,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking,different type account available,offer savings current salary fixed deposit account
172,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans,check account balance,check balance net banking mobile app atm visiting branch
173,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
174,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General,open new account,visit nearest branch required document apply online website
175,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
176,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
177,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
178,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
179,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
180,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
181,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
182,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
183,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
184,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
185,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards,close account,submit account closure form branch required document
186,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General,open new account,visit nearest branch required document apply online website
187,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
188,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
189,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
190,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
191,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans,open new account,visit nearest branch required document apply online website
192,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
193,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
194,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
195,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
196,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
197,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards,different type account available,offer savings current salary fixed deposit account
198,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
199,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards,close account,submit account closure form branch required document
200,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
201,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
202,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
203,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
204,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
205,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking,check account balance,check balance net banking mobile app atm visiting branch
206,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
207,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
208,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
209,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards,open new account,visit nearest branch required document apply online website
210,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans,document required account opening,need id proof address proof pan card passport-size photograph
211,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking,different type account available,offer savings current salary fixed deposit account
212,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
213,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
214,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
215,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
216,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
217,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
