question_id,question,answer,category
88,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
89,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
90,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
91,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
92,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
93,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
94,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
95,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
96,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
97,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
98,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
99,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
100,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
101,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
102,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
103,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
104,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
105,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
106,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
107,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
108,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
109,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
110,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
111,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
112,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
113,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
114,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
115,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
116,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
117,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
118,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
119,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
120,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
121,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
122,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
123,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
124,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
125,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
126,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
127,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
128,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
129,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
130,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
131,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
132,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
133,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
134,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
135,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
136,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
137,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
138,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
139,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
140,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
141,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
142,How do I close my account?,Submit an account closure form at your branch with required documents.,General
143,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
144,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
145,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
146,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
147,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
148,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
149,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
150,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
151,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
152,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
153,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
154,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
155,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
156,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
157,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
158,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
159,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
160,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
161,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
162,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
163,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
164,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
165,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
166,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
167,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
168,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
169,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
170,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
171,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
172,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
173,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
174,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
175,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
176,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
177,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
178,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
179,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
180,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
181,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
182,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
183,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
184,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
185,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
186,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
187,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
188,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
189,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
190,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
191,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
192,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
193,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
194,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
195,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
196,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
197,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
198,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
199,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
200,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
201,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
202,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
203,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
204,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
205,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
206,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
207,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
208,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
209,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
210,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
211,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
212,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
213,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
214,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
215,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
216,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
217,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
218,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
219,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
220,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
221,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
222,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
223,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
224,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
225,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
226,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
227,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
228,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
229,How do I close my account?,Submit an account closure form at your branch with required documents.,General
230,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
231,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
232,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
233,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
234,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
235,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
236,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
237,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
238,How do I close my account?,Submit an account closure form at your branch with required documents.,General
239,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
240,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
241,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
242,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
243,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
244,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
245,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
246,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
247,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
248,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
249,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
250,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
251,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
252,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
253,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
254,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
255,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
256,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
257,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
258,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
259,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
260,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
261,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
262,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
263,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
264,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
265,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
266,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
267,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
268,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
269,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
270,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
271,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
272,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
273,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
274,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
275,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
276,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
277,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
278,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
279,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
280,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
281,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
282,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
283,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
284,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
285,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
286,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
287,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
288,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
289,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
290,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
291,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
292,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
293,How do I close my account?,Submit an account closure form at your branch with required documents.,General
294,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
295,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
296,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
297,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
298,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
299,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
300,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
301,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
302,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
303,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
304,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
305,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
306,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
307,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
308,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
309,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
310,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
311,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
312,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
313,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
314,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
315,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
316,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
317,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
318,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
319,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
320,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
321,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
322,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
323,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
324,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
325,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
326,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
327,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
328,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
329,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
330,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
331,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
332,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
333,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
334,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
335,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
336,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
337,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
338,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
339,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
340,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Cards
341,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
342,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
343,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
344,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
345,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
346,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
